"Emri","Gjinia","Frekuenca"
"Adelajd","M","59"
"Adelajd","F","22"
"Adelajda","F","1013"
"Adelajde","F","26"
"Adelajden","M","1"
"Adelajdi","M","9"
"Adelajdo","M","33"
"Adelajdo","F","1"
"Adelajdr","F","1"
"Adelajne","F","2"
"Adelajta","F","3"
"Adeland","M","1"
"Adelanda","F","2"
"Adelando","M","1"
"Adelanit","M","1"
"Adelaos","M","1"
"Adelarda","F","2"
"Adelardi","M","1"
"Adelardo","M","3"
"Adelavjo","M","1"
"Adelda","F","1"
"Adele","F","8"
"Adelejda","F","1"
"Adeleje","F","1"
"Adeleo","M","2"
"Adelfa","F","1"
"Adelhane","F","1"
"Adeli","M","3"
"Adeliada","F","2"
"Adelian","M","10"
"Adeliana","F","8"
"Adeliano","M","1"
"Adeliata","F","1"
"Adelica","F","1"
"Adelie","F","2"
"Adeliina","F","1"
"Adelije","F","0"
"Adelijona","F","1"
"Adelika","F","1"
"Adelima","F","18"
"Adelimia","F","1"
"Adelin","F","22"
"Adelin","M","6"
"Adelina","F","4751"
"Adelina","M","58"
"Adelinda","F","1"
"Adeline","F","2"
"Adelinë","F","10"
"Adelinia","F","1"
"Adelino","F","2"
"Adelino","M","2"
"Adelio","M","13"
"Adelion","M","11"
"Adeliona","F","6"
"Adelis","M","6"
"Adelis","F","1"
"Adelisa","F","27"
"Adelisia","F","1"
"Adeliso","M","1"
"Adelita","F","1"
"Adeljada","F","2"
"Adeljan","M","9"
"Adeljana","F","10"
"Adeljano","M","3"
"Adeljo","M","10"
"Adeljola","F","1"
"Adeljon","M","10"
"Adeljona","F","7"
"Adelka","F","1"
"Adelko","M","1"
"Adelma","F","1"
"Adelmar","M","1"
"Adelmira","F","1"
"Adelo","M","1"
"Adeloida","F","1"
"Adelon","M","1"
"Adelona","F","6"
"Adels","M","4"
"Adelsa","F","5"
"Adelsi","M","1"
"Adelsia","F","1"
"Adelsian","M","1"
"Adelson","M","2"
"Adelsona","F","1"
"Adelvin","M","1"
"Adelvisa","F","1"
"Adella","F","4"
"Adem","M","2061"
"Adem","F","14"
"Ademant","M","1"
"Ademar","M","2"
"Ademaro","M","1"
"Ademe","F","2"
"Ademeda","F","1"
"Ademi","F","13"
"Ademi","M","8"
"Ademie","F","2"
"Ademir","M","12"
"Ademis","M","4"
"Ademjor","M","1"
"Aden","M","137"
"Adena","F","13"
"Adenad","M","1"
"Adenada","F","7"
"Adenaida","F","2"
"Adenajd","M","2"
"Adenajda","F","3"
"Adenajta","F","1"
"Adenald","M","1"
"Adenalda","F","2"
"Adenaldo","M","3"
"Adenand","M","1"
"Adenant","M","4"
"Adenarda","F","1"
"Adenauer","M","1"
"Adeneta","F","1"
"Adenila","F","2"
"Adenion","M","1"
"Adenira","F","1"
"Adenis","M","102"
"Adenisa","F","88"
"Adenisi","M","1"
"Adenjan","M","1"
"Adenjo","M","1"
"Adenjola","F","1"
"Adeo","M","24"
"Adeodata","F","1"
"Adeola","F","2"
"Adeola","M","1"
"Adeon","M","1"
"Adeona","F","1"
"Adeos","M","2"
"Ader","M","2"
"Adera","F","1"
"Aderalda","F","2"
"Aderaldo","M","3"
"Aderas","M","1"
"Aderatik","M","1"
"Aderel","M","1"
"Aderen","M","1"
"Aderian","M","5"
"Aderiana","F","12"
"Aderie","F","1"
"Aderievreto","F","1"
"Aderiela","F","1"
"Aderije","F","1"
"Aderina","F","5"
"Aderion","M","1"
"Aderiona","F","1"
"Aderis","M","3"
"Aderisa","F","2"
"Aderjan","M","15"
"Aderjana","F","5"
"Aderjano","M","3"
"Aderjatik","M","3"
"Aderklajd","M","1"
"Aderla","F","1"
"Aderon","M","1"
"Adersa","F","1"
"Ades","M","1"
"Adesa","F","40"
"Adesara","F","1"
"Adesel","M","1"
"Adesia","F","1"
"Adesiana","F","1"
"Adesina","F","2"
"Adesio","M","3"
"Adesmir","M","1"
"Adesnajda","F","1"
"Adeson","M","2"
"Adest","M","1"
"Adestina","F","3"
"Adeta","F","1"
"Adeva","F","1"
"Adevi","F","7"
"Adevie","F","65"
"Adevija","F","1"
"Adevije","F","32"
"Adevijë","F","1"
"Adevina","F","1"
"Adevisa","F","1"
"Adeyije","F","1"
"Adeze","F","1"
"Adëm","M","1"
"Adën","M","1"
"Adënan","M","1"
"Adër","M","3"
"Adërano","M","1"
"Adërian","M","1"
"Adëriana","F","2"
"Adërjan","M","1"
"Adërjana","F","1"
"Adërjatik","M","1"
"Adërson","M","1"
"Adëvie","F","1"
"Adgert","M","2"
"Adi","M","474"
"Adi","F","14"
"Adia","F","21"
"Adiago","M","1"
"Adian","M","10"
"Adiana","F","7"
"Adianin","M","1"
"Adianis","M","1"
"Adiano","M","1"
"Adias","M","1"
"Adiat","M","1"
"Adiato","M","1"
"Adibe","F","2"
"Adici","M","1"
"Adid","M","2"
"Adidas","M","1"
"Adide","F","1"
"Adie","F","5"
"Adiel","M","7"
"Adielbert","M","1"
"Adiela","F","2"
"Adielda","F","2"
"Adien","M","1"
"Adiena","F","1"
"Adieni","M","2"
"Adif","M","49"
"Adife","F","25"
"Adifet","F","1"
"Adifete","F","4"
"Adifeze","F","1"
"Adigen","M","1"
"Adigoni","F","1"
"Adiha","F","1"
"Adij","M","1"
"Adija","F","1"
"Adijana","F","1"
"Adije","F","8"
"Adijesa","F","1"
"Adijon","M","2"
"Adijona","F","1"
"Adijonis","M","1"
"Adika","F","1"
"Adike","F","1"
"Adikel","M","1"
"Adikla","F","1"
"Adiklis","M","1"
"Adil","M","386"
"Adil","F","2"
"Adila","F","14"
"Adila","M","2"
"Adilan","F","1"
"Adilana","F","1"
"Adilane","F","1"
"Adilaver","M","1"
"Adilda","F","1"
"Adile","F","906"
"Adile","M","11"
"Adileko","F","1"
"Adilesu","F","2"
"Adilete","F","1"
"Adilë","F","2"
"Adilë","M","1"
"Adilhane","F","1"
"Adili","M","1"
"Adiliana","F","2"
"Adilie","F","2"
"Adilije","F","1"
"Adilion","M","1"
"Adiliona","F","2"
"Adiljan","M","1"
"Adiljana","F","4"
"Adilje","F","1"
"Adiljon","M","2"
"Adilke","F","6"
"Adilo","M","1"
"Adilon","M","5"
"Adilson","M","1"
"Adilta","F","1"
"Adiluke","F","1"
"Adim","F","1"
"Adime","F","1"
"Adimie","F","2"
"Adimir","M","3"
"Adimira","F","1"
"Adina","F","14"
"Adinan","M","1"
"Adinant","M","1"
"Adinard","M","1"
"Adine","F","14"
"Adine","M","1"
"Adinela","F","3"
"Adinild","M","1"
"Adinis","M","1"
"Adinist","M","1"
"Adioar","M","2"
"Adiol","M","36"
"Adiola","F","100"
"Adiola","M","2"
"Adiolf","M","1"
"Adioli","M","1"
"Adiolta","F","1"
"Adion","M","38"
"Adiona","F","15"
"Adionis","M","3"
"Adior","M","2"
"Adiora","F","2"
"Adipe","F","1"
"Adiqare","F","1"
"Adir","M","1"
"Adire","F","15"
"Adirena","F","2"
"Adirian","M","2"
"Adirjana","F","1"
"Adirjona","F","1"
"Adis","M","82"
"Adis","F","5"
"Adisa","F","173"
"Adisa","M","2"
"Adise","F","1"
"Adise","M","1"
"Adisea","F","1"
"Adisel","M","2"
"Adisela","F","2"
"Adiselda","F","3"
"Adiseldo","M","1"
"Adisi","M","1"
"Adisia","F","1"
"Adisian","M","2"
"Adisiana","F","1"
"Adisio","M","1"
"Adisjan","M","1"
"Adisjo","M","2"
"Adisjon","M","1"
"Adiska","F","1"
"Adisnada","F","1"
"Adisola","F","1"
"Adison","M","28"
"Adison","F","1"
"Adisona","F","1"
"Adisoni","M","1"
"Adisra","F","1"
"Adissa","F","1"
"Adist","M","2"
"Adista","F","2"
"Adisha","F","4"
"Adit","M","8"
"Adita","F","2"
"Aditas","M","1"
"Adiue","F","1"
"Adiuie","F","1"
"Adive","F","2"
"Adivi","F","11"
"Adivie","F","309"
"Adivie","M","2"
"Adivije","F","160"
"Adivije","M","1"
"Adivin","M","1"
"Adivinë","M","1"
"Adivjana","F","1"
"Adivje","F","1"
"Adixhe","F","4"
"Adiyije","F","1"
"Adizana","F","2"
"Adize","M","1"
"Adja","F","11"
"Adjada","F","1"
"Adjamma","F","1"
"Adjan","M","2"
"Adjana","F","10"
"Adjel","M","2"
"Adjela","F","2"
"Adjen","M","4"
"Adjena","F","1"
"Adjesa","F","1"
"Adjet","M","1"
"Adjiana","F","1"
"Adjo","M","1"
"Adjoina","F","1"
"Adjol","M","28"
"Adjola","F","54"
"Adjola","M","1"
"Adjoli","F","1"
"Adjon","M","31"
"Adjona","F","19"
"Adjonis","M","1"
"Adjuna","F","1"
"Adjus","M","4"
"Adkajo","M","1"
"Adkeola","F","1"
"Adket","M","1"
"Adkiel","M","1"
"Adla","F","3"
"Adlart","M","1"
"Adlea","F","1"
"Adlei","M","6"
"Adlein","M","2"
"Adlej","M","3"
"Adlelina","F","1"
"Adlen","M","2"
"Adlenis","M","1"
"Adlens","M","1"
"Adleo","M","3"
"Adleon","M","2"
"Adler","M","6"
"Adlerd","M","1"
"Adlerdo","M","1"
"Adleri","M","1"
"Adlerin","M","1"
"Adleta","F","1"
"Adli","M","20"
"Adli","F","1"
"Adlia","F","1"
"Adlie","F","25"
"Adlije","F","49"
"Adlin","M","2"
"Adlina","F","4"
"Adlind","M","3"
"Adlino","M","1"
"Adlion","M","1"
"Adlir","M","6"
"Adlira","F","4"
"Adlis","M","2"
"Adlis","F","1"
"Adlona","F","1"
"Adlum","M","1"
"Adlla","M","2"
"Adma","F","7"
"Admaela","F","1"
"Admah","M","1"
"Adman","M","5"
"Admand","M","15"
"Admar","M","1"
"Admarin","M","1"
"Admario","M","2"
"Admarisa","F","1"
"Admean","M","1"
"Admela","F","4"
"Admen","M","1"
"Admend","M","1"
"Adment","M","1"
"Admerim","M","3"
"Admerima","F","1"
"Admerime","F","1"
"Admerina","F","1"
"Admet","M","7"
"Admi","M","2"
"Admiirald","M","1"
"Admiljan","M","1"
"Admiljano","M","1"
"Admin","M","0"
"Admina","F","4"
"Adminenda","F","1"
"Admir","M","1433"
"Admir","F","20"
"Admira","F","123"
"Admira","M","3"
"Admiral","M","29"
"Admiralb","M","1"
"Admirald","M","10"
"Admiralda","F","3"
"Admiraldo","M","5"
"Admirand","M","15"
"Admiranda","F","3"
"Admirant","M","8"
"Admirant","F","1"
"Admire","F","11"
"Admirel","M","10"
"Admirela","F","7"
"Admirelda","F","1"
"Admiren","M","1"
"Admiresa","F","1"
"Admirë","M","1"
"Admiri","M","13"
"Admiri","F","1"
"Admirian","M","1"
"Admirilda","F","1"
"Admirim","M","177"
"Admirim","F","2"
"Admirime","F","9"
"Admirin","M","1"
"Admirina","F","3"
"Admiriola","F","1"
"Admirjama","F","1"
"Admirjan","M","4"
"Admirjano","M","2"
"Admirjon","M","1"
"Admirland","M","1"
"Admiron","M","1"
"Admirora","F","1"
"Admirosha","F","1"
"Admirush","M","1"
"Admond","M","9"
"Admonda","F","3"
"Admondi","M","1"
"Admyre","M","1"
"Adna","F","13"
"Adnad","M","9"
"Adnald","M","3"
"Adnan","M","243"
"Adnan","F","3"
"Adnand","M","275"
"Adnano","M","6"
"Adnant","M","95"
"Adnant","F","1"
"Adnanti","M","1"
"Adnard","M","1"
"Adnardo","M","1"
"Adnat","M","1"
"Adnesa","F","1"
"Adnesnajdi","M","1"
"Adni","M","19"
"Adni","F","1"
"Adniel","M","1"
"Adnin","M","2"
"Adnir","M","1"
"Adnis","M","2"
"Adnisa","F","1"
"Adnit","M","1"
"Adnor","M","4"
"Adnora","F","3"
"Ado","F","3"
"Ado","M","2"
"Adoela","F","3"
"Adol","M","2"
"Adola","F","5"
"Adolarda","F","1"
"Adole","M","1"
"Adolena","F","1"
"Adoleo","M","1"
"Adoleon","M","1"
"Adolf","M","70"
"Adolf","F","1"
"Adolfe","M","1"
"Adolfi","M","1"
"Adolfina","F","0"
"Adolfo","M","1"
"Adolino","M","1"
"Adomis","F","1"
"Adon","M","3"
"Adona","F","8"
"Adona","M","1"
"Adonald","M","1"
"Adonaldo","M","2"
"Adonel","M","1"
"Adonela","F","5"
"Adonelda","F","1"
"Adonesa","F","1"
"Adoneta","F","1"
"Adonia","F","6"
"Adonie","F","2"
"Adonika","F","3"
"Adonilda","F","1"
"Adonis","M","22"
"Adonist","M","1"
"Adonit","M","1"
"Ador","M","22"
"Ador","F","2"
"Adora","F","64"
"Adora","M","1"
"Adoraldo","M","2"
"Adoranta","F","1"
"Adorata","F","2"
"Adorea","F","1"
"Adorel","M","2"
"Adorela","F","3"
"Adoreta","F","1"
"Adorila","F","1"
"Adorisa","F","2"
"Adorjan","M","1"
"Adra","F","11"
"Adrahman","M","3"
"Adraman","M","7"
"Adran","M","1"
"Adratik","M","1"
"Adrea","M","1"
"Adreas","M","1"
"Adreatik","M","31"
"Adreathino","M","1"
"Adreina","F","8"
"Adreja","M","1"
"Adrel","M","9"
"Adrela","F","9"
"Adrelim","M","1"
"Adrelina","F","1"
"Adrelona","F","1"
"Adrenalina","F","2"
"Adrenil","M","1"
"Adreson","M","1"
"Adreta","F","1"
"Adretik","M","1"
"Adri","M","101"
"Adri","F","2"
"Adria","F","5"
"Adria","M","2"
"Adrialb","M","2"
"Adriald","M","2"
"Adrialda","F","1"
"Adrialdo","M","1"
"Adriamo","M","1"
"Adrian","M","2539"
"Adrian","F","34"
"Adrianathian","M","1"
"Adrianeqrem","M","1"
"Adriana","F","2294"
"Adriana","M","45"
"Adrianakloninda","F","1"
"Adrianamari","F","1"
"Adrianamaria","F","1"
"Adriand","M","86"
"Adriand","F","1"
"Adriane","F","2"
"Adrianela","F","1"
"Adriani","M","32"
"Adrianita","F","1"
"Adriano","M","403"
"Adriano","F","7"
"Adrianos","M","1"
"Adriant","M","1"
"Adrianthi","F","1"
"Adriart","M","1"
"Adrias","M","1"
"Adriat","M","2"
"Adriatik","M","2722"
"Adriatik","F","16"
"Adriatika","F","2"
"Adriatike","F","12"
"Adriatike","M","2"
"Adriatiku","M","5"
"Adriatim","M","19"
"Adriatk","M","1"
"Adriçel","M","1"
"Adrida","F","1"
"Adrieda","F","1"
"Adriel","M","63"
"Adriela","F","16"
"Adrielo","M","1"
"Adrien","M","2"
"Adriena","F","1"
"Adriera","F","1"
"Adries","M","1"
"Adriet","M","1"
"Adrigen","M","1"
"Adriger","M","1"
"Adriglio","M","1"
"Adrihan","M","3"
"Adrihan","F","1"
"Adrihano","M","1"
"Adrijan","M","77"
"Adrijan","F","1"
"Adrijana","F","47"
"Adrijana","M","2"
"Adrijano","M","5"
"Adrijel","M","1"
"Adrijol","M","1"
"Adrijon","M","8"
"Adrikol","M","1"
"Adril","M","1"
"Adrila","F","2"
"Adrilan","M","1"
"Adriland","M","1"
"Adrilen","M","2"
"Adrilena","F","1"
"Adriljano","M","2"
"Adrilon","M","14"
"Adrilona","F","6"
"Adrimona","F","1"
"Adrin","M","10"
"Adrina","F","22"
"Adrinant","M","1"
"Adrinel","M","1"
"Adrinelo","M","1"
"Adrino","M","1"
"Adrinjela","F","1"
"Adriol","M","16"
"Adriola","F","35"
"Adriola","M","1"
"Adriolin","M","1"
"Adrion","M","14"
"Adrion","F","1"
"Adriona","F","3"
"Adrionela","F","1"
"Adrioni","M","1"
"Adriono","M","2"
"Adris","M","3"
"Adris","F","1"
"Adrisa","F","17"
"Adrisel","M","1"
"Adrisela","F","2"
"Adriseld","M","1"
"Adrisen","M","1"
"Adriseta","F","1"
"Adrisiola","F","1"
"Adrison","M","3"
"Adrit","M","22"
"Adrius","M","1"
"Adriza","F","1"
"Adrjano","M","1"
"Adrjelo","M","1"
"Adrlana","F","1"
"Adrna","F","1"
"Adromaqi","F","1"
"Adrona","F","1"
"Adroniqi","F","1"
"Adrriana","F","1"
"Adrriani","M","1"
"Adrrigena","F","1"
"Aduart","M","1"
"Aduel","M","4"
"Aduel","F","3"
"Aduela","F","7"
"Aduema","F","1"
"Aduena","F","1"
"Adujeta","F","1"
"Adulla","M","15"
"Adullah","M","2"
"Adullan","M","1"
"Aduo","M","1"
"Adurel","M","1"
"Adurim","M","2"
"Adurjela","F","1"
"Adusela","F","1"
"Adush","M","20"
"Adushe","F","1"
"Adushjana","F","1"
"Adva","F","1"
"Advaldo","M","3"
"Advand","M","1"
"Adverino","M","1"
"Advi","F","1"
"Advi","M","1"
"Advia","F","1"
"Advie","F","23"
"Advieta","F","1"
"Advije","F","18"
"Advilsa","F","2"
"Advin","M","10"
"Advina","F","2"
"Advis","M","1"
"Advisa","F","1"
"Advison","M","1"
"Advjela","F","1"
"Advjol","M","1"
"Adxhejms","M","1"
"Adyl","M","2"
"Adyle","F","1"
"Adylin","M","1"
"Adham","M","5"
"Adhamandia","F","2"
"Adhamantia","F","1"
"Adhiona","F","1"
"Adhir","M","1"
"Adhira","F","1"
"Adhjamand","M","1"
"Adhona","F","1"
"Adhoresa","F","1"
"Adhorim","M","1"
"Adhra","F","1"
"Adhriana","F","1"
"Adhurant","M","2"
"Adhurel","M","1"
"Adhurim","M","339"
"Adhurim","F","3"
"Adhurime","F","4"
"Adhurimi","F","1"
"Aea","F","2"
"Aebert","M","1"
"Aeda","F","11"
"Aedis","F","1"
"Aedla","F","1"
"Aeërdita","F","16"
"Aei","M","1"
"Aeisa","F","1"
"Aejda","F","1"
"Aejli","F","1"
"Ael","M","4"
"Aela","F","14"
"Aeld","M","1"
"Aeldi","M","1"
"Aelia","F","10"
"Aelidare","F","1"
"Aelinda","F","1"
"Aelio","M","2"
"Aelita","F","5"
"Aelius","M","1"
"Aeljus","M","1"
"Aelona","F","1"
"Aelt","M","1"
"Aeltja","F","1"
"Aena","F","1"
"Aenald","M","1"
"Aend","M","1"
"Aene","F","1"
"Aeniol","M","1"
"Aenisa","F","1"
"Aeno","M","1"
"Aenxhe","F","1"
"Aepudlikan","M","1"
"Aera","F","1"
"Aerd","M","7"
"Aerda","F","4"
"Aerdi","M","1"
"Aerli","M","1"
"Aermael","M","1"
"Aeron","M","14"
"Aerona","F","1"
"Aersa","F","2"
"Aert","M","10"
"Aerta","F","2"
"Aerton","M","1"
"Aesi","M","2"
"Aesia","M","1"
"Aesio","M","1"
"Aesja","F","1"
"Aesli","M","1"
"Aetjon","M","1"
"Aetla","F","1"
"Aevid","M","1"
"Aevila","F","1"
"Aezbio","M","1"
"Aërdita","F","1"
"Afarel","M","2"
"Afarela","F","1"
"Afarisa","F","1"
"Afas","M","1"
"Afat","M","1"
"Afçot","M","1"
"Afdi","M","1"
"Afdulla","M","1"
"Afe","F","2"
"Afede","F","1"
"Afedita","F","22"
"Afeida","F","14"
"Afeida","M","1"
"Afejda","F","2"
"Afemilinda","F","1"
"Afer","M","1"
"Aferdes","F","1"
"Aferdit","F","32"
"Aferdita","F","4099"
"Aferdita","M","40"
"Aferditd","F","1"
"Aferdite","F","22"
"Aferditë","F","1"
"Aferdrida","F","1"
